C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2000,1,1,16,2,2,21,UU,1,1,1,18,1,1,UUUU,1,M,33,11,2,2,1,151401
2000,1,1,16,2,2,21,UU,1,1,1,18,2,1,UUUU,1,F,32,11,1,NN,1,151401
2000,1,1,17,2,1,QQ,UU,5,2,5,18,1,1,UUUU,1,M,45,11,1,NN,1,151441
2000,1,1,17,2,1,QQ,UU,5,2,5,18,99,NN,NNNN,1,F,16,99,2,NN,3,151441
2000,1,1,17,2,1,QQ,UU,5,2,5,18,99,NN,NNNN,2,F,16,99,2,NN,3,151441
2000,1,1,10,2,1,2,UU,4,3,1,1,1,5,UUUU,1,M,57,11,1,NN,1,151460
2000,1,1,10,2,1,2,UU,4,3,1,1,99,NN,NNNN,1,F,31,99,2,NN,3,151460
2000,1,1,10,2,1,2,UU,4,3,1,UU,1,1,UUUU,1,M,28,11,1,NN,1,151461
2000,1,1,10,2,1,2,UU,4,3,1,UU,99,NN,NNNN,1,M,61,99,2,NN,3,151461
2000,1,1,17,2,1,2,2,5,2,2,5,1,1,UUUU,1,M,49,11,2,12,1,151501
2000,1,1,8,2,3,21,UU,1,2,2,1,1,NN,2000,1,N,NN,11,1,NN,U,151509
2000,1,1,8,2,3,21,UU,1,2,2,1,2,1,UUUU,1,M,25,11,1,NN,1,151509
2000,1,1,8,2,3,21,UU,1,2,2,1,3,1,UUUU,1,M,25,11,2,2,1,151509
2000,1,1,8,2,3,21,UU,1,2,2,1,3,1,UUUU,2,F,25,13,2,2,2,151509
2000,1,1,8,2,3,21,UU,1,2,2,1,4,1,UUUU,1,F,70,11,1,NN,1,151509
2000,1,1,14,2,2,35,UU,2,5,1,18,1,22,UUUU,1,M,15,22,2,9,U,151515
2000,1,1,14,2,2,35,UU,2,5,1,18,1,22,UUUU,2,M,18,11,1,NN,U,151515
2000,1,1,14,2,2,35,UU,2,5,1,18,2,22,UUUU,1,M,16,11,1,NN,U,151515
2000,1,1,5,2,1,2,UU,4,3,1,UU,1,1,UUUU,1,M,16,11,2,2,1,151594
2000,1,1,15,1,1,2,UU,2,2,1,18,1,1,UUUU,1,M,77,11,3,2,1,151660
2000,1,1,15,1,1,2,UU,2,2,1,18,1,1,UUUU,2,F,73,13,2,2,2,151660
2000,1,1,16,2,2,UU,UU,1,2,1,18,1,1,UUUU,1,M,30,11,2,2,1,151664
2000,1,1,16,2,2,UU,UU,1,2,1,18,2,1,UUUU,1,M,21,11,1,NN,1,151664
2000,1,1,13,2,2,23,UU,2,2,2,18,1,1,UUUU,1,M,83,11,1,NN,1,151670
2000,1,1,13,2,2,23,UU,2,2,2,18,2,1,UUUU,1,M,55,11,2,2,1,151670
2000,1,1,8,2,2,21,UU,1,1,1,UU,1,1,UUUU,1,F,23,11,2,2,1,151749
2000,1,1,8,2,2,21,UU,1,1,1,UU,2,NN,UUUU,1,M,54,11,1,NN,U,151749
2000,1,1,20,2,2,35,UU,1,1,1,18,1,1,UUUU,1,M,NN,21,2,2,2,151763
2000,1,1,20,2,2,35,UU,1,1,1,18,1,1,UUUU,2,F,NN,22,2,2,2,151763
2000,1,1,20,2,2,35,UU,1,1,1,18,1,1,UUUU,3,M,43,11,1,NN,1,151763
2000,1,1,20,2,2,35,UU,1,1,1,18,2,1,UUUU,1,M,26,11,1,NN,1,151763
2000,1,1,15,2,2,21,UU,1,1,1,18,1,1,UUUU,1,M,31,11,1,NN,1,151782
2000,1,1,15,2,2,21,UU,1,1,1,18,2,1,UUUU,1,F,30,11,2,2,1,151782
2000,1,1,0,2,1,4,UU,2,5,3,18,1,1,UUUU,1,M,18,11,2,2,1,151783
2000,1,1,10,2,1,3,UU,1,4,2,UU,1,1,UUUU,1,F,42,11,2,2,1,151801
2000,1,1,18,2,2,35,UU,3,2,1,18,1,1,UUUU,1,M,56,11,2,2,1,151999
2000,1,1,18,2,2,35,UU,3,2,1,18,1,1,UUUU,2,M,30,13,2,2,2,151999
2000,1,1,18,2,2,35,UU,3,2,1,18,2,1,UUUU,1,F,41,11,1,NN,1,151999
2000,1,1,11,2,3,QQ,UU,1,1,1,UU,1,1,UUUU,1,F,34,11,2,2,1,152486
2000,1,1,11,2,3,QQ,UU,1,1,1,UU,2,NN,2000,1,N,NN,11,1,NN,U,152486
2000,1,1,11,2,3,QQ,UU,1,1,1,UU,3,1,UUUU,1,M,22,11,1,NN,1,152486
2000,1,1,11,2,3,QQ,UU,1,1,1,UU,4,5,UUUU,1,F,40,11,1,NN,1,152486
2000,1,1,15,2,2,3,3,1,2,1,UU,1,1,UUUU,1,F,16,11,2,2,1,152791
2000,1,1,15,2,2,3,3,1,2,1,UU,2,1,UUUU,1,M,40,11,2,2,1,152791
2000,1,1,15,2,2,3,3,1,2,1,UU,2,1,UUUU,2,M,14,12,2,2,2,152791
2000,1,1,18,2,1,QQ,UU,2,2,4,UU,1,1,UUUU,1,M,33,11,2,2,1,152809
2000,1,1,18,2,1,QQ,UU,2,2,4,UU,1,1,UUUU,2,F,32,13,2,2,2,152809
2000,1,1,17,2,2,21,UU,1,3,2,18,1,1,2000,1,M,34,11,1,NN,1,152904
2000,1,1,17,2,2,21,UU,1,3,2,18,2,1,UUUU,1,F,27,11,2,2,1,152904
2000,1,1,13,2,2,35,2,2,4,1,3,1,1,UUUU,1,M,61,11,1,NN,1,152925
