C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2007,UU,U,10,2,2,35,2,1,1,1,1,1,1,2003,1,F,76,11,2,2,1,1314995
2007,UU,U,10,2,2,35,2,1,1,1,1,2,1,2006,1,M,41,11,1,2,1,1314995
2007,UU,U,15,2,3,33,UU,1,1,U,18,1,1,1996,1,M,37,11,1,UU,1,1317662
2007,UU,U,15,2,3,33,UU,1,1,U,18,1,1,1996,2,F,37,13,2,UU,2,1317662
2007,UU,U,15,2,3,33,UU,1,1,U,18,1,1,1996,3,F,35,22,2,UU,2,1317662
2007,UU,U,15,2,3,33,UU,1,1,U,18,2,1,2003,1,M,47,11,1,UU,1,1317662
2007,UU,U,15,2,3,33,UU,1,1,U,18,3,1,1993,1,M,25,11,1,UU,1,1317662
2007,UU,U,UU,2,1,6,1,1,Q,3,18,1,14,2005,1,M,45,96,2,9,5,1322654
2007,UU,U,UU,2,1,6,1,1,Q,3,18,1,14,2005,2,M,12,96,2,9,5,1322654
2007,UU,U,16,2,1,6,UU,1,Q,U,18,1,1,1997,1,M,31,11,2,1,1,1323610
2007,UU,U,UU,2,1,UU,2,3,2,2,3,1,16,UUUU,1,F,14,12,2,9,U,1349801
2007,UU,U,UU,2,1,UU,2,3,2,2,3,1,16,UUUU,2,F,13,22,2,UU,U,1349801
2007,UU,U,17,2,1,QQ,QQ,U,3,Q,18,1,22,1997,1,M,75,12,2,1,U,1349843
2007,UU,U,15,2,1,4,1,1,6,3,18,1,9,2001,1,M,53,11,1,1,1,1349846
2007,UU,U,15,2,1,4,1,1,6,3,18,1,9,2001,2,M,13,31,2,13,2,1349846
2007,UU,U,15,2,1,4,1,1,6,3,18,1,9,2001,3,M,12,33,2,13,2,1349846
